,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period
87,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,15:00,Thursday,2019-07-04 15:00:00,3.89,4.442499999999999,-12.436691052335375,no,None,None,None,06/2019
88,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,16:00,Thursday,2019-07-04 16:00:00,3.87,4.484999999999999,-13.712374581939784,no,None,None,None,06/2019
89,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,17:00,Thursday,2019-07-04 17:00:00,4.389999999999999,5.039999999999999,-12.896825396825406,no,None,None,None,06/2019
90,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,18:00,Thursday,2019-07-04 18:00:00,4.399999999999999,5.2075000000000005,-15.50648103696595,no,None,None,None,06/2019
91,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,19:00,Thursday,2019-07-04 19:00:00,4.069999999999999,4.0649999999999995,0.12300123001229753,no,None,None,None,06/2019
92,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,20:00,Thursday,2019-07-04 20:00:00,4.079999999999999,4.065,0.3690036900368706,no,None,None,None,06/2019
93,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,21:00,Thursday,2019-07-04 21:00:00,4.209999999999999,4.2425,-0.7660577489687835,no,None,None,None,06/2019
94,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,22:00,Thursday,2019-07-04 22:00:00,4.079999999999999,4.109999999999999,-0.7299270072992762,no,None,None,None,06/2019
95,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/04,23:00,Thursday,2019-07-04 23:00:00,3.9299999999999997,4.0249999999999995,-2.360248447204963,no,None,None,None,06/2019
96,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/05,00:00,Friday,2019-07-05 00:00:00,3.9899999999999998,3.9899999999999998,0.0,no,None,None,None,06/2019
